genre,price_bin,game_count,median_owners,median_revenue,total_revenue,median_review_score,median_playtime,revenue_per_game
Strategy,$15-20,1082,35000.0,699650.0,4402395600.0,0.7962216519,222.0,4068757.486136784
Strategy,$20-30,630,75000.0,1874249.9999999998,6125374450.0,0.7922077922,328.0,9722816.587301588
Strategy,$30+,310,35000.0,2414450.0,12107881300.0,0.798186809,535.5,39057681.61290322
Tutorial,$0-5,24,10000.0,39900.0,967600.0,1.0,0.0,40316.666666666664
Tutorial,$5-10,6,10000.0,59900.0,419400.0,0.5,0.0,69900.0
Tutorial,$30+,3,10000.0,1090000.0,3689800.0,1.0,0.0,1229933.3333333333
Utilities,Free,199,10000.0,0.0,0.0,0.7126436782000001,7.0,0.0
Utilities,$0-5,91,10000.0,49900.0,232619850.0,0.69749937485,76.0,2556262.087912088
Utilities,$5-10,67,10000.0,99900.0,70208300.0,0.7507692308,49.0,1047885.0746268657
Utilities,$10-15,41,10000.0,149900.0,37217450.0,0.752851711,33.0,907742.6829268293
Utilities,$15-20,30,10000.0,199900.0,38264549.99999999,0.80359477125,3.5,1275484.9999999998
Utilities,$20-30,26,10000.0,299900.0,20293100.0,0.75757575755,7.0,780503.8461538461
Utilities,$30+,57,10000.0,599900.0,136970400.0,0.7028496657000001,0.0,2402989.4736842103
Video Production,Free,112,10000.0,0.0,0.0,0.6882325266,0.0,0.0
Video Production,$0-5,13,10000.0,34650.0,1111150.0,0.6375000000000001,0.0,85473.07692307692
Video Production,$5-10,17,35000.0,349650.0,14022750.0,0.72478540775,417.0,824867.6470588235
Video Production,$10-15,11,10000.0,149900.0,8354600.0,0.78289473685,46.0,759509.0909090909
Video Production,$15-20,10,10000.0,199900.0,1939100.0,0.7811594203000001,0.5,193910.0
Video Production,$20-30,14,10000.0,299900.0,14095200.0,0.8777777778,83.5,1006800.0
Video Production,$30+,53,10000.0,799900.0,103508600.0,0.68319053445,0.0,1952992.4528301887
Violent,Free,44,10000.0,0.0,0.0,0.7763673461,0.0,0.0
Violent,$0-5,194,10000.0,29900.0,10066650.0,0.593220339,0.0,51889.948453608245
Violent,$5-10,81,10000.0,79900.0,9448150.0,0.6236888112000001,0.0,116643.82716049382
Violent,$10-15,29,10000.0,149900.0,14653800.0,0.6069650173500001,0.0,505303.4482758621
Violent,$15-20,17,10000.0,199900.0,3868050.0,0.48,0.0,227532.35294117648
Violent,$20-30,4,10000.0,249900.0,1049600.0,0.5507246377,0.0,262400.0
Violent,$30+,1,10000.0,399900.0,399900.0,0.9900332226,914.0,399900.0
Web Publishing,Free,34,10000.0,0.0,0.0,0.7678571429000001,3.5,0.0
Web Publishing,$0-5,6,55000.0,114450.0,1535950.0,0.87495462795,95.0,255991.66666666666
Web Publishing,$5-10,7,150000.0,1498500.0,8903650.0,0.8730862208,417.0,1271950.0
Web Publishing,$10-15,6,92500.0,1217825.0,6922450.0,0.8209382151,345.0,1153741.6666666667
Web Publishing,$15-20,2,10000.0,199900.0,399800.0,0.43459766040000003,0.5,199900.0
Web Publishing,$20-30,2,180000.0,5398200.0,10796400.0,0.7654021091000001,1172.5,5398200.0
Web Publishing,$30+,17,10000.0,799900.0,64089850.0,0.7287905538000001,243.0,3769991.1764705884
